trip_id,pickup_location_id,dropoff_location_id,vendor_id,pickup_datetime,estimated_dropoff_datetime,estimated_fare_amount
c66ce556bc,93,93,1,25-05-2024 13:19,25-05-2024 14:03,34.18595284
f93c901b2d,247,247,1,25-05-2024 18:32,25-05-2024 19:15,69.12471722
9ddba1d91a,7,193,2,25-05-2024 05:17,25-05-2024 05:37,47.09790129
cc4db3afb9,193,193,2,25-05-2024 16:16,25-05-2024 17:02,66.54630433
f881b97b2c,93,93,1,25-05-2024 12:43,25-05-2024 13:39,69.30909068
5bb35a15b3,93,93,1,25-05-2024 06:17,25-05-2024 06:51,24.4248039
29c8fa702b,193,193,2,25-05-2024 15:50,25-05-2024 16:01,78.174476
44afca752e,93,93,1,25-05-2024 15:18,25-05-2024 16:00,59.19096488
2f9beadf3f,93,93,1,25-05-2024 14:38,25-05-2024 15:23,73.09247608
5c0db5de48,93,93,1,25-05-2024 05:38,25-05-2024 06:17,92.01196526
e92f5128c3,193,193,2,25-05-2024 17:15,25-05-2024 18:07,49.10928008
5550548848,93,93,1,25-05-2024 02:13,25-05-2024 03:00,47.43059683
ff2174e13a,93,93,1,25-05-2024 09:28,25-05-2024 10:11,50.29918379
88c13d04a2,93,93,1,25-05-2024 01:37,25-05-2024 02:29,70.97227384
4f6cbe6c52,93,93,1,25-05-2024 06:20,25-05-2024 06:49,48.56831749
99d89d26ec,92,92,1,25-05-2024 21:09,25-05-2024 21:28,49.59903443
d3cef4d940,93,93,1,25-05-2024 15:43,25-05-2024 16:10,26.12293119
a9d16621bd,42,42,1,25-05-2024 11:31,25-05-2024 11:41,83.26166718
338df7e905,193,193,2,25-05-2024 11:13,25-05-2024 11:34,73.59409517
b6412eb634,93,93,1,25-05-2024 04:02,25-05-2024 04:33,63.10282248
dbb1ce4110,56,56,1,25-05-2024 05:52,25-05-2024 06:21,52.69673237
779fea1b33,93,93,1,25-05-2024 11:50,25-05-2024 12:34,57.10192693
99394031db,57,173,1,25-05-2024 15:24,25-05-2024 16:23,88.19304552
3173be614e,93,93,1,25-05-2024 14:35,25-05-2024 15:28,30.05112829
fabfe2ac6e,93,134,1,25-05-2024 06:41,25-05-2024 07:25,65.88747962
83d0d3be52,134,197,1,25-05-2024 22:47,25-05-2024 23:01,54.29051265
a5c2761040,216,10,1,25-05-2024 00:16,25-05-2024 00:54,81.98894905
414aafd3bc,137,61,1,25-05-2024 04:35,25-05-2024 04:59,91.57172288
01a62ce9e2,244,168,1,25-05-2024 00:44,25-05-2024 01:01,61.40088113
20ef74c220,264,264,2,25-05-2024 22:47,25-05-2024 23:16,45.31972028
afa4628160,70,173,1,25-05-2024 06:42,25-05-2024 07:34,67.62041367
b1c3c6d5e7,193,193,2,25-05-2024 02:11,25-05-2024 03:05,69.1680335
a835d245b6,93,93,1,25-05-2024 13:08,25-05-2024 13:38,58.42345243
62b08ec66f,93,93,1,25-05-2024 20:58,25-05-2024 21:25,85.66157648
22a627da4f,196,82,1,25-05-2024 16:25,25-05-2024 17:08,10.1479385
d6965bd426,93,93,1,25-05-2024 10:32,25-05-2024 11:23,54.6651365
965ea1ebcf,74,74,1,25-05-2024 13:16,25-05-2024 14:01,69.13904759
db78bcb223,56,264,1,25-05-2024 11:27,25-05-2024 11:50,35.73515271
a672a6663c,83,83,1,25-05-2024 12:58,25-05-2024 13:30,30.28614214
26a26065fa,93,93,1,25-05-2024 01:07,25-05-2024 01:32,22.94931642
d9e30297c0,93,93,1,25-05-2024 06:10,25-05-2024 06:24,20.85930358
04638e1253,93,83,1,25-05-2024 13:15,25-05-2024 13:53,74.35276146
